seasonYear,gameString,gameDate,gameType,visitor,home,visitingTeamFinalRuns,homeTeamFinalRuns,inning,side,batterId,batter,batterHand,pitcherId,pitcher,pitcherHand,catcherId,catcher,timesFaced,batterPosition,balls,strikes,outs,manOnFirst,manOnSecond,manOnThird,endManOnFirst,endManOnSecond,endManOnThird,visitingTeamCurrentRuns,homeTeamCurrentRuns,pitchResult,pitchType,releaseVelocity,spinRate,spinDir,px,pz,szt,szb,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,paResult,runsHome,battedBallType,battedBallAngle,battedBallDistance,atbatDesc
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,1,T,456422,Michael Bourn,L,572971,Dallas Keuchel,L,488771,Jason Castro,1,CF,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FF,88.2,1652.59,151.732,-0.17,1.19,3.39,1.5,0.919,50,5.948,-4.156,-129.082,-8.528,6.964,20.104,-19.224,,,,,,
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,1,T,456422,Michael Bourn,L,572971,Dallas Keuchel,L,488771,Jason Castro,1,CF,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,IP,FF,89.6,2202.49,151.687,-0.197,2.423,3.32,1.5,0.761,50,5.996,-4.306,-131.111,-6.469,9.441,25.153,-14.651,IP_OUT,,GB,14.26,112.83,"Michael Bourn grounds out, second baseman Jose Altuve to first baseman Chris Carter."
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,1,T,543401,Jason Kipnis,L,572971,Dallas Keuchel,L,488771,Jason Castro,1,2B,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FF,89.1,1959.61,156.008,0.023,1.64,3.34,1.48,0.86,50,5.973,-3.553,-130.396,-8.167,7.162,21.465,-16.083,,,,,,
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,1,T,543401,Jason Kipnis,L,572971,Dallas Keuchel,L,488771,Jason Castro,1,2B,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,FC,86.6,982.223,154.474,-1.538,0.734,3.27,1.49,0.805,50,5.878,-6.639,-126.576,-8.116,3.693,20.834,-24.441,,,,,,
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,1,T,543401,Jason Kipnis,L,572971,Dallas Keuchel,L,488771,Jason Castro,1,2B,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,FT,89.2,2241.62,116.882,-1.063,2.543,3.24,1.49,0.799,50,6.055,-8.29,-130.501,-4.592,17.985,26.595,-23.057,,,,,,
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,1,T,543401,Jason Kipnis,L,572971,Dallas Keuchel,L,488771,Jason Castro,1,2B,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,IP,SL,80.2,882.253,292.831,-0.825,1.433,3.33,1.49,1.014,50,6.04,-2.848,-117.524,-3.16,-6.587,22.218,-34.947,IP_OUT,,FB,-32.43,203.43,Jason Kipnis flies out softly to left fielder Colby Rasmus.
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,1,T,488726,Michael Brantley,L,572971,Dallas Keuchel,L,488771,Jason Castro,1,LF,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FF,88.9,2198.27,160.252,-0.662,2.316,3.38,1.51,0.864,50,5.96,-5.219,-130.173,-6.717,6.665,27.27,-13.61,,,,,,
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,1,T,488726,Michael Brantley,L,572971,Dallas Keuchel,L,488771,Jason Castro,1,LF,0,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,SL,80.5,878.129,320.299,-1.397,0.617,3.38,1.74,0.924,50,5.895,-4.429,-117.911,-4.213,-4.559,22.008,-37.665,,,,,,
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,1,T,488726,Michael Brantley,L,572971,Dallas Keuchel,L,488771,Jason Castro,1,LF,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,IP,SL,79.9,1175.9,318.083,-0.425,1.43,3.46,1.51,0.998,50,6.078,-1.92,-117.159,-2.266,-6.344,22.162,-39.24,IP_OUT,,GB,29.21,99.3,Michael Brantley grounds out to first baseman Chris Carter.
2015,gid_2015_04_06_clemlb_houmlb_1,4/6/2015 19:10,REG,CLE,HOU,0,2,2,T,467793,Carlos Santana,R,572971,Dallas Keuchel,L,488771,Jason Castro,1,1B,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FF,88.3,2526.28,127.74,1.026,2.359,3.37,1.61,1.078,50,6.048,-3.607,-129.32,-5.872,17.808,24.273,-18.391,,,,,,
