seasonYear,gameString,gameDate,gameType,visitor,home,visitingTeamFinalRuns,homeTeamFinalRuns,inning,side,batterId,batter,batterHand,pitcherId,pitcher,pitcherHand,catcherId,catcher,timesFaced,batterPosition,balls,strikes,outs,manOnFirst,manOnSecond,manOnThird,endManOnFirst,endManOnSecond,endManOnThird,visitingTeamCurrentRuns,homeTeamCurrentRuns,pitchResult,pitchType,releaseVelocity,spinRate,spinDir,px,pz,szt,szb,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,paResult,runsHome,battedBallType,battedBallAngle,battedBallDistance,atbatDesc
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,571740,Billy Hamilton,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,CF,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,SI,91.1,1582.7,235.843,0.01,3.062,3.49,1.59,-1.725,50,6.076,6.866,-133.337,-3.429,-12.037,25.757,-24.007,,,,,,
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,571740,Billy Hamilton,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,CF,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,KC,81.3,1511.49,40.497,-0.617,1.58,3.61,1.78,-2.226,50,5.843,2.108,-119.23,-1.313,8.067,19.66,-41.62,,,,,,
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,571740,Billy Hamilton,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,CF,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,F,KC,83.2,1109.12,45.934,0.8,1.506,3.49,1.59,-2.051,50,5.791,5.502,-121.839,-2.356,6.693,21.529,-38.652,,,,,,
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,571740,Billy Hamilton,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,CF,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SS,KC,82.8,1149.45,43.206,1.618,0.625,3.49,1.59,-1.922,50,5.748,7.149,-121.195,-4.183,6.574,20.727,-39.173,K,,,,,"Billy Hamilton strikes out swinging, catcher Tony Sanchez to first baseman Pedro Alvarez."
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,458015,Joey Votto,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,1B,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,KC,80.5,1652.55,44.909,-1.348,2.744,3.71,1.72,-2.303,50,6.035,0.209,-117.997,1.199,9.489,19.888,-41.693,,,,,,
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,458015,Joey Votto,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,1B,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FF,91.2,1439.41,216.413,0.632,3.223,3.77,1.72,-1.844,50,6.04,8.05,-133.436,-3.42,-7.859,23.992,-21.52,,,,,,
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,458015,Joey Votto,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,1B,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,FF,90.8,1553.14,215.285,-0.345,3.858,3.77,1.85,-1.851,50,5.963,5.528,-133.064,-1.64,-8.229,27.133,-20.546,,,,,,
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,458015,Joey Votto,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,1B,2,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,SI,91.8,1564.69,233.053,0.324,3.438,3.71,1.68,-1.836,50,5.984,7.919,-134.346,-2.356,-11.58,27.523,-23.465,,,,,,
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,458015,Joey Votto,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,1B,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,FF,91.6,1600.85,214.874,0.932,2.505,3.64,1.65,-1.683,50,5.853,8.574,-134.006,-5.202,-8.455,21.993,-20.043,,,,,,
2015,gid_2015_04_09_pitmlb_cinmlb_1,4/9/2015 12:35,REG,PIT,CIN,2,3,1,B,458015,Joey Votto,L,150359,A.J. Burnett,R,506997,Tony Sanchez,1,1B,3,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,IP,SI,92.1,1560.37,226.243,0.481,2.952,3.66,1.68,-1.744,50,5.939,7.898,-134.788,-3.816,-10.471,27.853,-22.148,IP_OUT,,GB,-13.04,116.18,"Joey Votto grounds out, shortstop Jordy Mercer to first baseman Pedro Alvarez."
