seasonYear,gameString,gameDate,gameType,visitor,home,visitingTeamFinalRuns,homeTeamFinalRuns,inning,side,batterId,batter,batterHand,pitcherId,pitcher,pitcherHand,catcherId,catcher,timesFaced,batterPosition,balls,strikes,outs,manOnFirst,manOnSecond,manOnThird,endManOnFirst,endManOnSecond,endManOnThird,visitingTeamCurrentRuns,homeTeamCurrentRuns,pitchResult,pitchType,releaseVelocity,spinRate,spinDir,px,pz,szt,szb,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,paResult,runsHome,battedBallType,battedBallAngle,battedBallDistance,atbatDesc
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,571976,Wil Myers,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,CF,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,F,FF,90,1859.08,192.259,0.493,3.312,3.7,1.6,-0.858,50,6.222,4.206,-131.855,-4.565,-3.588,28.195,-15.663,,,,,,
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,571976,Wil Myers,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,CF,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FF,92.1,2117.34,200.611,0.557,2.57,3.76,1.65,-0.848,50,6.145,5.046,-134.742,-6.966,-6.923,26.911,-13.768,,,,,,
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,571976,Wil Myers,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,CF,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,F,SL,85.5,469.704,64.299,0.271,1.629,3.7,1.6,-0.947,50,6.218,2.276,-125.355,-4.51,3.657,25.086,-33.934,,,,,,
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,571976,Wil Myers,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,CF,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,F,SL,85.4,579.285,89.301,0.011,2.384,3.7,1.6,-0.943,50,6.369,1.366,-125.156,-3.417,4.997,22.048,-32.235,,,,,,
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,571976,Wil Myers,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,CF,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,SL,86.4,718.552,113.901,0.714,0.736,3.69,1.64,-0.952,50,6.126,3.026,-126.431,-7.574,5.725,24.08,-29.637,,,,,,
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,571976,Wil Myers,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,CF,1,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,IP,FT,92.6,1673.79,220.289,-0.106,2.386,3.7,1.6,-0.964,50,6.078,4.186,-135.62,-6.085,-10.118,30.66,-20.239,IP_OUT,,FB,26.69,274.69,Wil Myers flies out to right fielder Yasiel Puig.
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,519083,Derek Norris,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,C,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FF,91.3,2248.61,186.691,0.375,1.784,3.36,1.48,-0.723,50,6.079,3.348,-133.587,-9.098,-2.413,30.177,-11.61,,,,,,
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,519083,Derek Norris,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,C,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SS,FF,90.9,1796.81,172.827,0.778,2.424,3.4,1.49,-0.767,50,6.094,3.676,-133.039,-6.655,2.058,27.121,-15.826,,,,,,
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,519083,Derek Norris,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,C,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,F,FF,92.5,2307.92,187.428,0.738,2.605,3.4,1.49,-0.747,50,6.195,4.487,-135.427,-7.561,-2.786,30.433,-10.811,,,,,,
2015,gid_2015_04_07_sdnmlb_lanmlb_1,4/7/2015 22:10,REG,SD,LAD,7,3,1,T,519083,Derek Norris,R,425844,Zack Greinke,R,518735,Yasmani Grandal,1,C,0,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,CH,88.5,1787.4,246.199,-1.429,1.159,3.43,1.51,-1.161,50,6.072,2.168,-129.59,-7.546,-14.608,26.871,-25.731,,,,,,
