seasonYear,gameString,gameDate,gameType,visitor,home,visitingTeamFinalRuns,homeTeamFinalRuns,inning,side,batterId,batter,batterHand,pitcherId,pitcher,pitcherHand,catcherId,catcher,timesFaced,batterPosition,balls,strikes,outs,manOnFirst,manOnSecond,manOnThird,endManOnFirst,endManOnSecond,endManOnThird,visitingTeamCurrentRuns,homeTeamCurrentRuns,pitchResult,pitchType,releaseVelocity,spinRate,spinDir,px,pz,szt,szb,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,paResult,runsHome,battedBallType,battedBallAngle,battedBallDistance,atbatDesc
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,493114,Nori Aoki,L,453178,Ian Kennedy,R,519083,Derek Norris,1,LF,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,SL,FF,92.2,2369.78,195.391,-0.936,2.186,3.01,1.57,-2.236,50,5.648,4.561,-134.907,-7.176,-5.849,28.85,-10.928,,,,,,
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,493114,Nori Aoki,L,453178,Ian Kennedy,R,519083,Derek Norris,1,LF,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,KC,78.4,1683.08,38.116,-1.245,1.227,2.98,1.47,-2.465,50,5.969,0.94,-114.941,-1.299,8.231,22.711,-42.665,,,,,,
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,493114,Nori Aoki,L,453178,Ian Kennedy,R,519083,Derek Norris,1,LF,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,FF,91.7,2215.14,209.867,-1.515,2.667,3.12,1.49,-2.263,50,5.718,3.91,-134.262,-5.34,-10.209,31.11,-14.397,,,,,,
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,493114,Nori Aoki,L,453178,Ian Kennedy,R,519083,Derek Norris,1,LF,2,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,B,FF,92.1,2376.75,212.688,-2.062,2.163,3.18,1.56,-2.365,50,5.723,3.046,-134.88,-6.942,-11.934,28.678,-13.577,,,,,,
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,493114,Nori Aoki,L,453178,Ian Kennedy,R,519083,Derek Norris,1,LF,3,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,B,FF,92.2,2442.45,213.316,-1.344,2.524,3.12,1.53,-2.204,50,5.695,4.634,-135.047,-5.967,-12.488,30.484,-13.175,BB,,,,,Nori Aoki walks.
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,605412,Joe Panik,L,453178,Ian Kennedy,R,519083,Derek Norris,1,2B,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,SL,FF,90.8,2175.97,216.491,-0.55,3.026,3.06,1.28,-2.328,50,5.678,6.928,-132.95,-3.902,-11.859,27.489,-16.143,,,,,,
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,605412,Joe Panik,L,453178,Ian Kennedy,R,519083,Derek Norris,1,2B,0,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,IP,UN,,,,,,,,,,,,,,,,,FC,,GB,-21.65,62.03,"Joe Panik grounds into a force out, third baseman Will Middlebrooks to second baseman Jedd Gyorko. Nori Aoki out at 2nd. Joe Panik to 1st."
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,434636,Angel Pagan,L,453178,Ian Kennedy,R,519083,Derek Norris,1,CF,0,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,F,FF,90.8,2588.88,202.383,-0.847,2.341,3.22,1.53,-2.216,50,5.705,5.306,-132.896,-6.837,-9.031,30.566,-10.246,,,,,,
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,434636,Angel Pagan,L,453178,Ian Kennedy,R,519083,Derek Norris,1,CF,0,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,IP,CH,83.3,1581.94,229.312,-1.383,2.391,3.22,1.53,-2.393,50,5.857,4.528,-122.02,-3.528,-10.089,21.723,-23.5,IP_OUT,,GB,17.58,14.33,"Angel Pagan grounds out softly, catcher Derek Norris to first baseman Yonder Alonso. Joe Panik to 2nd."
2015,gid_2015_04_09_sfnmlb_sdnmlb_1,4/9/2015 18:40,REG,SF,SD,1,0,1,T,457763,Buster Posey,R,453178,Ian Kennedy,R,519083,Derek Norris,1,C,0,0,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,SS,SL,86.1,928.348,148.334,1.294,1.21,3.57,1.61,-2.126,50,5.731,7.67,-125.886,-6.181,4.229,24.212,-25.318,,,,,,
